product_id,code,description,category,brand,manufacturer,status
24203371,0050051391367,LIP SMACK.(6XLPS 3XCOCA COLA+2XFANT.+SPR ,BPZ - BANDED PACKS,NA,NA,Active
85319774,0110027479793,SYNERGETIC MIX(DTR 1L+2XBLEX1L) ,BPZ - BANDED PACKS,SYNERGETIC (SYNERGETIC/N.NOVGOROD),SYNERGETIC/N.NOVGOROD,Active
21014067,4015000977388,PALET.+SCHAUM.(COL N1+SHM BL.TSV.225 FR) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT,HENKEL,Active
21014058,4015000977357,PALET.+SCHAUM.(COL WN3+SHM BL.TS.225 FR) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT,HENKEL,Active
20835036,3014260274856,GILLET.MACH 3 TURBO(RAZ+BLD) ,BPZ - BANDED PACKS,GILLETTE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
21284391,4015000977418,PALET.+SCHAUM.(COL G3+SHM LYO&UKH.225FR) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT,HENKEL,Active
22188484,4053158959191,GLISS KUR OIL.NUTRIT(HCR 200+SHM 250 FR) ,BPZ - BANDED PACKS,NA,NA,Active
68169811,4015100436068,TAFT+GL.KUR (HST PLEN.PRAGA 225+SHM EKST.VOS.250) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (HENKEL),HENKEL,Active
20833017,3014260315412,VENUS FOR WOMEN(RAZ+BLD) ,BPZ - BANDED PACKS,VENUS (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
24232952,4005800132070,NIVEA F/MEN SENS.(MFR B100+SHP M200 FR) ,BPZ - BANDED PACKS,NIVEA MEN (BEIERSDORF),BEIERSDORF,Active
82759070,0887930422030,KODAK MAX PREMIUM (RAZ+BLD3) ,BPZ - BANDED PACKS,KODAK,KODAK,Active
39984152,4630006263824,ROSSIYSKIE MYASOPRODUKTY (2XAERX0.38 VENS.SERV+KUPECHESK) ,BPZ - BANDED PACKS,SIBIRSKAYA PRODOVOLSTVENNAYA KOMPANIYA,ROSSIYSKIE MYASOPRODUKTY,Active
54919051,8718951310124,PALM+MENNEN(SRG ARCT.WIND 3V1 250+DEO SNEZH.LAVINA 60) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (COLGATE-PALMOLIVE),COLGATE-PALMOLIVE,Active
175375893,4640021712153,BOTANICAL PHILOSOPHY PARADISE(SRG250ML+BCR150ML) ,BPZ - BANDED PACKS,BOTANICAL PHILOSOPHY (LUCHSHIE TRADITSII/MOSKVA),LUCHSHIE TRADITSII/MOSKVA,Active
101759027,4631145330446,LAVE (SHM 300ML+2XHCR 300ML+250ML) ,BPZ - BANDED PACKS,LAVE (KEMIKL PRO/MOSKVA),KEMIKL PRO/MOSKVA,Active
197748823,4630056027834,PLANETA ORGANICA TOKYO BLOSSOM(SRG280ML+BCR280ML) ,BPZ - BANDED PACKS,PLANETA ORGANICA (NATURA SIBERICA/MOSKVA),NATURA SIBERICA/MOSKVA,Active
190504363,4650017012198,CAFE MIMI LONG STRONG (SHM400ML+2XHCR 300ML+200ML) ,BPZ - BANDED PACKS,CAFE MIMI (GRINKOSMETIK GRUPP/MOSKVA),GRINKOSMETIK GRUPP/MOSKVA,Active
192102073,4630118575143,SAMMY BEAUTY (2XFS MZ COLLAG.HYDR.3X30G +ROSE HYDR.4G) ,BPZ - BANDED PACKS,SAMMY BEAUTY (BEAUTY INNOVATIONS/MOSKVA),BEAUTY INNOVATIONS/MOSKVA,Active
82885409,4670113600983,AZELIT D/KUKHNI ANTI-ZHIR(2XST,BPZ - BANDED PACKS,GRASS (GRASS TD/VOLGOGRAD),GRASS TD/VOLGOGRAD,Active
176071249,4640221701773,BREESAL(3X AFR LQ 70ML MEDITATSIYA+ANTISTRES+SLI.S PRIRODOY) ,BPZ - BANDED PACKS,BREESAL (UPECO/MOSKVA),UPECO/MOSKVA,Active
47702616,4640021010495,NOCHN.OKHOT.MYAS.KUS.V ZHEL.4X85G(MEAT.ASS+CHICK+VEAL&LAM)1F ,BPZ - BANDED PACKS,NOCHNOY OKHOTNIK (PRODKONTRAKTINVEST/ROSTOVSK.OBL.),PRODKONTRAKTINVEST/ROSTOVSK.OBL.,Active
71996899,4005800297144,NIVEA POZABOT`SYA O NYOM(2XDEO M 50+W 25 FR) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
24302291,4005800131325,NIVEA (DEO NEV.150ML+SRG PROB.250ML FR) ,BPZ - BANDED PACKS,NA,NA,Active
41260797,4015100205282,FA+SCHAUMA F/MEN BODR.SVEZH. (SRG250 + SHM225 30%FR) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (HENKEL),HENKEL,Active
146711638,3086123711532,BIC FLEX 3 HYBRID(RAZ+BLD 1CO+CPC) ,BPZ - BANDED PACKS,BIC (VIOLEX BIC),VIOLEX BIC,Active
223841450,4606453093574,ESTEL ETO PERVIY (SHM250ML+HCR250ML+SRG250ML+BCR150ML),BPZ - BANDED PACKS,ESTEL (ESTEL/SANKT-PETERBURG),ESTEL/SANKT-PETERBURG,Active
101122364,4606453079233,ESTEL MOLOKO BOTANIC PO VKUSU VASHIM VOLOSAM(SHM250+HCR200) ,BPZ - BANDED PACKS,ESTEL (ESTEL/SANKT-PETERBURG),ESTEL/SANKT-PETERBURG,Active
49682592,4605246014833,PRINC.NOORI VYSOKOGORN(2XTEA 100TB+25TB FR) ,BPZ - BANDED PACKS,PRINCESSA NOORI (ORIMI GK/SPB),ORIMI GK/SPB,Active
24804819,4607086565681,LE BOUTON NEZH.UKHOD IRIS (75XHAC+BCR F) ,BPZ - BANDED PACKS,NA,NA,Active
22329437,4607075001244,SILCA DENT DETSKAYA (TTH KOLA 65GR+TBR) ,BPZ - BANDED PACKS,NA,NA,Active
