product_id,code,description,category,brand,manufacturer,status
32256747,4680320008694,BABY BOOM 4 MAXI 7-18KG U T 50PCS ,DPH - DIAPERS,BABY BOOM (PL DIXI),PL DIXI,Active
24302710,4607065372132,WHISKAS INDEYK AD.1+ RAGU H 0.085KGCW,CAT - CAT FOOD,WHISKAS (MARS),MARS,Active
25016490,4610017750537,IN TIME FINE    SMOOTH ULT.THIN  SMAZKA ST  3PCS A K  ,CDM - CONTRACEPTION - CONDOMS,IN TIME (ATEKS GRUPP/MOSKVA),ATEKS GRUPP/MOSKVA,Active
23585411,4699302905050,KRASNODARSKIY(OB`ED.KRASN.CHA) CHYORNIY  OREGN&THYM  PK    0.1KG BL LFT ,TEA - TEA,KRASNODARSKIY (OB`EDINENIE KRASNODARSKIY CHAY/KRASNODAR),OB`EDINENIE KRASNODARSKIY CHAY/KRASNODAR,Active
41167618,4640018991097,FINISH(RECKITT) CLAS.    DS 28TBLT X18.3GR 0.5124KG K ,DSM - MACHINE DISHWASH,FINISH (RECKITT),RECKITT,Active
98005694,4640018994463,FINISH(RECKITT) CLAS. DS 28TBLT X16GR 0.448KG K ,DSM - MACHINE DISHWASH,FINISH (RECKITT),RECKITT,Active
45129479,4650056490636,MOSQUITALL(ARNEST/ARNEST) ZATSH. DL.VS.SEM`I Q MATS Z 12PCS 10 HOURS,INS - INSECTICIDES,MOSQUITALL (ARNEST/ARNEST),ARNEST/ARNEST,Active
18806081,4607087850601,VELVET(TIMEKS)  PAPAYA & SHYOLK & EKSTRAKT ANA  C WOM T&L 0.1L  ,DEP - DEPILATORIES,VELVET (TIMEKS KOSMETIK/MOSKVA),TIMEKS KOSMETIK/MOSKVA,Active
21440385,4610003251796,LYUBYATOVO SHOKOL. SHKLD SGB 0.335KG WP,SWB - BISCUITS,LYUBYATOVO (CHERNOGOLOVKA GK),CHERNOGOLOVKA GK,Active
21381687,4640001731303,VIOLA(VELKOM) BUZHNN A K 0.13KG ,CHP - CHEESE-PROCESSED,VIOLA (VELKOM MK/MOSK.OBL.),VELKOM MK/MOSK.OBL.,Active
57509565,4640068210841,KRASAVCHIK(SUNFR.-TR./PER) YABLK&VINGRD V 100% 0.2L BRICK PACK A ,JUI - JUICES,KRASAVCHIK (SUNFRUIT-TRADE/PERM),SUNFRUIT-TRADE/PERM,Active
32397882,4670013301911,CHIRTON CHIST.VODOST.   GRN 0.6KG BO ,DRC - DRAIN CLEANERS,CHIRTON (EUREKA GROUP),EUREKA GROUP,Active
33765365,4670009952899,DOBROGOST  ADMIRL`SK-SERV GOV&KUR&SV KOLB BL B/SM 0.35KG ,AER - MEAT PRODUCTS(RTE REFRIGERATED,DOBROGOST (DOBROGOST/EKATERINBURG),DOBROGOST/EKATERINBURG,Active
